,index,Title,Genre,Link
1399,1399,Mayoritas warga Paris tolak penggunaan skuter listrik di jalanan,Dunia,https://www.antaranews.com/berita/3469101/mayoritas-warga-paris-tolak-penggunaan-skuter-listrik-di-jalanan
1400,1400,Polres Jaksel gelar perkara anak polisi tabrak pelajar di Pasar Minggu,Metro,https://www.antaranews.com/berita/3469026/polres-jaksel-gelar-perkara-anak-polisi-tabrak-pelajar-di-pasar-minggu
1401,1401,Gubernur Riau menyerahkan beragam bantuan di Pekanbaru,Ekonomi,https://www.antaranews.com/berita/3468948/gubernur-riau-menyerahkan-beragam-bantuan-di-pekanbaru
1402,1402,"Kemarin, WNA di Bali dideportasi hingga Mahfud bakal ke Batam",Hukum,https://www.antaranews.com/berita/3468945/kemarin-wna-di-bali-dideportasi-hingga-mahfud-bakal-ke-batam
1403,1403,Pertamina Dumai inventarisasi kerusakan akibat ledakan kilang,Humaniora,https://www.antaranews.com/berita/3468414/pertamina-dumai-inventarisasi-kerusakan-akibat-ledakan-kilang
1404,1404,"Verstappen juarai GP Australia, Hamilton rebut posisi kedua",Olahraga,https://www.antaranews.com/berita/3468372/verstappen-juarai-gp-australia-hamilton-rebut-posisi-kedua
1405,1405,Kasat Lantas benarkan sopir Mercy tabrak pelajar adalah anak polisi,Metro,https://www.antaranews.com/berita/3468369/kasat-lantas-benarkan-sopir-mercy-tabrak-pelajar-adalah-anak-polisi
1406,1406,Grup Hyundai kembangkan robot pengisi daya mobil listrik,Otomotif,https://otomotif.antaranews.com/berita/3468285/grup-hyundai-kembangkan-robot-pengisi-daya-mobil-listrik
1407,1407,Polres Sukabumi pasang puluhan CCTV untuk pantau arus mudik lebaran,Hukum,https://www.antaranews.com/berita/3468258/polres-sukabumi-pasang-puluhan-cctv-untuk-pantau-arus-mudik-lebaran
1408,1408,Polri prediksi puncak arus mudik 2023 pada 19-21 April,Hukum,https://www.antaranews.com/berita/3468189/polri-prediksi-puncak-arus-mudik-2023-pada-19-21-april
1409,1409,Polri selidiki penyebab ledakan kilang Pertamina Dumai,Hukum,https://www.antaranews.com/berita/3468114/polri-selidiki-penyebab-ledakan-kilang-pertamina-dumai
